,0,1,2,3,4,5,6,7,8,9
0,0.5055182,0.4976136,0.5045664,0.5030826,0.49609458,0.49811143,0.504749,0.50099665,0.49877852,0.4945089
1,0.505672,0.49770075,0.50470173,0.50318915,0.49585253,0.49812838,0.504555,0.50076556,0.49858037,0.4940863
2,0.5055905,0.4977588,0.504767,0.50333136,0.49573883,0.49800408,0.504327,0.50061727,0.4984336,0.49375194
3,0.5055007,0.49777466,0.50492734,0.5034586,0.4957252,0.49794716,0.5042351,0.5005263,0.49821782,0.4934097
4,0.50538844,0.4980125,0.5049553,0.5035025,0.4957772,0.4978933,0.5040883,0.500443,0.49808505,0.49316958
5,0.505161,0.49798125,0.50503147,0.503314,0.495869,0.4978178,0.5042354,0.50054944,0.49818867,0.49290195
6,0.5050597,0.49808788,0.50501966,0.50310683,0.4960853,0.49761337,0.50411797,0.50056934,0.4982905,0.49273592
7,0.5052581,0.49836498,0.50492364,0.5031968,0.49631342,0.49751273,0.5040589,0.5006442,0.49850526,0.49267453
8,0.5051433,0.4986518,0.5049496,0.5030277,0.4966548,0.49722007,0.5039773,0.50080377,0.49873582,0.492698
9,0.5050325,0.4989298,0.50496835,0.50276744,0.4969703,0.497147,0.50427836,0.5009727,0.49902424,0.49259326
10,0.50493234,0.49920094,0.505006,0.5024789,0.4973104,0.49702334,0.50439465,0.5010075,0.49946576,0.49246404
11,0.5048035,0.4995189,0.5050661,0.5020671,0.49785686,0.4966296,0.5045375,0.50114185,0.49982524,0.49248508
12,0.5045695,0.49980623,0.50507504,0.50166893,0.498566,0.49634138,0.5045577,0.5013257,0.50030196,0.49256364
13,0.50434786,0.5002959,0.50498325,0.50127965,0.49907225,0.49614158,0.5046971,0.50152117,0.5008844,0.49254376
14,0.504097,0.50058424,0.50491154,0.500862,0.49976718,0.49590576,0.5048181,0.5017379,0.5014055,0.49262923
15,0.5039399,0.50108504,0.5047051,0.50052714,0.5005857,0.49554452,0.5050967,0.50204635,0.50210476,0.49260545
16,0.50365555,0.50155073,0.50456846,0.50006574,0.50133526,0.4951874,0.5053275,0.5024463,0.50294054,0.4927028
17,0.5035163,0.5018605,0.5044643,0.499484,0.50226843,0.4946697,0.50534695,0.5029456,0.5037369,0.49277037
18,0.503295,0.5021495,0.50441885,0.49903324,0.50325435,0.49420223,0.5054936,0.50339526,0.504447,0.49291232
19,0.5029721,0.5025989,0.504324,0.4985059,0.5041664,0.49385163,0.50559664,0.5038165,0.5053383,0.49309623
20,0.5025907,0.5030154,0.50411856,0.49781072,0.5052202,0.49337447,0.50563383,0.50429827,0.5061185,0.4929204
21,0.5022478,0.50343037,0.5038489,0.49729356,0.5062569,0.4929192,0.5058217,0.5048568,0.5070184,0.4930369
22,0.50181335,0.50405586,0.5034261,0.49673763,0.5072969,0.4924009,0.50608677,0.5054949,0.50776404,0.4932349
23,0.5014006,0.5045359,0.5031915,0.49619877,0.5085215,0.49188918,0.50649107,0.5062819,0.50850457,0.49326265
24,0.50091976,0.5050843,0.5027644,0.49569452,0.5096147,0.49128404,0.5068071,0.5069356,0.50938094,0.49336737
25,0.50052696,0.5055453,0.5024906,0.4951773,0.51060545,0.49083912,0.5069923,0.50744134,0.51025903,0.49350074
26,0.50012124,0.5057913,0.50221735,0.49495524,0.51167715,0.49037227,0.5072323,0.507902,0.51099247,0.49373236
27,0.4997813,0.5061625,0.50179803,0.49455458,0.512968,0.48961386,0.507624,0.5084304,0.511784,0.4940662
28,0.49944502,0.5065851,0.50153565,0.49401018,0.5140939,0.48910016,0.5078527,0.50903535,0.512654,0.49431163
29,0.49921647,0.50688,0.5012261,0.49342403,0.51546466,0.4884897,0.5081094,0.50965434,0.51356745,0.4943632
