,precipitation
210,-12.17561912
211,-11.17005636
212,-10.42899638
213,-11.15973174
214,-12.43182032
215,-12.22706639
216,-13.14971456
217,-13.53120873
218,-12.95563276
219,-12.78855098
220,-13.24185479
221,-13.01981805
222,-13.25103402
223,-14.29467739
224,-12.83210888
225,-12.36385328
226,-12.74142559
227,-12.82218817
228,-10.5844361
229,-9.137797275
230,-13.08409121
231,-15.37130663
232,-14.73440255
233,-13.67056283
234,-13.80024056
235,-13.30326286
236,-12.50557756
237,-12.22131743
238,-12.68379558
239,-12.04010077
240,-12.33121179
241,-12.03286731
242,-11.9560096
243,-12.91917021
244,-12.97155678
245,-12.51906796
246,-12.99489752
247,-12.22377651
248,-13.02359056
249,-12.9548213
250,-12.59203528
251,-13.06146537
252,-13.10807543
253,-13.6780133
254,-14.77796656
255,-14.94447074
256,-14.88167635
257,-14.73755043
258,-13.07679099
259,-13.3017689
260,-12.84104255
261,-13.22886445
262,-12.70914444
263,-13.37622146
264,-11.90725451
265,-12.49438095
266,-13.68371568
267,-15.1657173
268,-15.19944555
269,-11.39124278
270,-8.914037153
271,-11.39552959
272,-12.5971445
273,-12.06266958
274,-11.89646076
275,-10.81240781
276,-9.742872066
277,-10.13005189
278,-11.14873176
279,-10.938803
280,-11.35453548
281,-11.25433662
282,-11.20753313
283,-10.44698434
284,-10.50483833
285,-10.11195036
286,-10.14814184
287,-10.32617255
288,-10.74740378
289,-10.54784611
290,-5.617487869
291,-0.673186302
292,-5.516102156
293,-1.291667483
294,-1.251278602
295,-0.510938415
296,-0.364343353
297,-0.004083699
298,-0.528250913
299,-0.398940588
300,-0.661402086
301,-0.612210591
302,-1.223316813
303,-2.4876064
304,-0.924734595
305,-2.71673553
306,-2.543498589
307,-1.703559964
308,-2.310521655
309,-2.434054226
310,-0.252810793
311,-2.89218614
312,-3.085166445
313,-1.935867127
314,-1.486577834
315,-1.539534977
316,-0.041924122
317,-0.658613715
318,-1.863361937
319,-1.255647715
320,-1.935897379
321,-3.072806563
322,-2.839864733
323,-3.707730831
324,-1.241982417
325,-0.427585387
326,-0.036706521
327,-0.086450784
328,-0.923874944
329,-0.701567053
330,-0.240044655
331,-0.022002949
332,-0.559967825
333,-0.689888121
334,-0.904984203
335,-0.021971972
336,-0.521830531
337,-0.368912921
338,-1.114243198
339,-0.526734118
340,-1.002324319
341,-0.34437517
342,-0.781373506
343,-0.651524345
344,-0.661840003
345,-0.46929472
346,-0.663234514
347,-0.930396874
348,-1.107943576
349,-1.089927576
350,-1.213580425
351,-1.32100969
352,-0.637603098
353,-1.099584006
354,-0.977870685
355,-0.389835005
356,-0.027817615
357,-1.986358656
358,-0.16374313
359,-1.074179417
360,-0.578491838
361,-2.247662417
362,-1.172875616
363,-0.64517782
364,-0.571714765
