,desert,scrubland,grassland,pineoak,subalpine
0,-1.1528234043319388,-1.15902020159393,-0.6997440640000001,-0.7293173447816365,-0.5750064705993395
1,-0.07854372038114797,-1.003612954737914,-0.590704686,-0.06387911216170755,-0.7050320388425985
2,-0.9594246890321183,-0.5948155955219382,-0.52355489,-0.5731019255886882,-1.0324851388646161
3,-0.2900028745487026,-0.2438312666487422,-0.49104702,-0.08308904107233342,-0.7492019189242182
4,-0.05734290237278379,-0.1357340328106646,-0.482708265,-0.43612956585947327,-0.2744922104266977
5,-0.7143665525032958,-0.5192146641836324,-0.4813565420000001,-0.5679118871440879,-0.29315300383474774
6,-0.8460644359724651,-0.437498777955658,-0.481504367,-0.7951807318619595,-0.7229169620098103
7,-0.25349124586292515,-0.22806031668480892,-0.481627281,-0.43731509141053826,-0.3244963883540299
8,-0.7655159065078985,-0.49213234409544987,-0.481568564,-0.1597031251402313,-0.6139479536640742
9,-0.07351357080327126,-0.7461715904097141,-0.481509861,-0.4856149627308816,-0.009609053732536428
10,-0.24735960020173606,-0.3131989839171594,-0.481451171,-0.8260690692162973,-0.003951194604858772
11,-0.30360908994863217,-0.2662694803271179,-0.483337661,-0.8647465518166972,-0.30421906805280424
12,-0.6587373700059773,-0.15274993023916333,-0.482854147,-0.17114759319745987,-0.4740326919532658
13,-0.47308640963109583,-0.3351395884090386,-0.484141023,-0.78492294555153,-0.2294641803096478
14,-0.44248545858453237,-0.7976750451723997,-0.485434353,-0.5579424182460331,-0.3851677730202988
15,-0.5049010692101003,-0.5071804283638535,-0.486734184,-0.4468100906140312,-0.09033662720051802
16,-0.3611569043974537,-0.22893353338153363,-0.485838336,-0.32627404928218123,-0.7567702717898029
17,-0.8424224430373106,-0.9541223933604925,-0.485419935,-0.32118516401327946,-0.7857706309796694
18,-0.8994310499716323,-0.2562250343715736,-0.484271935,-0.08627959381042363,-0.9484423150231117
19,-0.7386835725082628,-0.7427941217830824,-0.491782593,-0.572547597545209,-0.1671351139712252
20,-0.4806558627960443,-0.12993042085702816,-0.48850597,-0.4710863753438124,-0.18859981282062957
21,-0.9308873051771197,-0.295936579406753,-0.484312035,-0.5592019474890779,-0.7219346299220991
22,-0.129309810542918,-0.5810296908359028,-0.485739799,-0.9487681812267365,-0.020123509327582563
23,-0.5463567317596301,-0.7831696557109142,-0.491361235,-0.015678103360979752,-0.4033260761388284
24,-0.6111462600233921,-0.4599204093511345,-0.492207572,-0.8688440172364679,-0.5312172402567775
25,-0.8516447382053461,-0.9133590219317336,-0.493365181,-0.5183243288869834,-0.9454039379161838
26,-0.7054940395285608,-0.022193867250737787,-0.493868905,-0.3045962918058604,-0.35484861609351237
27,-0.1971827450170037,-0.7848931414959437,-0.508438637,-0.3531280581230939,-0.5405790960413333
28,-0.15420928906279482,-0.1032968599552575,-0.520190954,-0.9721284205497939,-0.8783787630544272
29,-0.19686178430457055,-0.518727203401509,-0.534461885,-0.11573182645041218,-0.12241195353086542
30,-0.08891586748317457,-0.4980868730450278,-0.553466105,-0.2071646410607612,-0.23896705638509932
31,-0.08954134593879441,-0.834826427522603,-0.633882299,-0.5516534250385454,-0.250067878935993
32,-0.7178035891888276,-0.43445197896021115,-0.672069525,-1.059297603860741,-0.9459596956218742
33,-1.0183271465018724,-1.130838206324306,-0.670719061,-0.3878048285444546,-1.0740768347371425
34,-0.421641998740574,-0.8760510023514687,-0.6726092379999999,-1.342702358032144,-0.7153247525284014
35,-0.6565906386987895,-1.1601210404330986,-0.679326236,-0.973664719294867,-1.0834882519072944
36,-0.8331986062791232,-0.07842969499339734,-0.7302055409999999,-0.2834793158508898,-0.25311400248709065
37,-1.6946795491096065,-0.8944256800568191,-0.8840415220000001,-0.9040636940835945,-0.4208867776588911
38,-1.3646360665516737,-1.432370420427631,-0.88068287,-0.5895174611078855,-1.6338995836368613
39,-1.2897603051539706,-0.4794757558802728,-0.907008476,-1.2370093132599544,-1.6983167988691634
40,-0.6974266105104604,-0.015044818110566209,-0.985977172,-1.5724615918638998,-1.935141743117199
41,-0.5840663445597287,-0.7284577544869169,-0.970780477,-1.6234639165185103,-0.8439706637438753
42,-1.7558036900387424,-0.6038520772307123,-0.983439761,-1.0123273005449729,-0.37056770387162147
43,-0.31204666207139303,-0.8039482216318072,-1.119286902,-1.538005657994316,-0.480867294347204
44,-1.3434167676246889,-0.6514363922258708,-1.141360786,-1.8473203272678282,-1.6837514959759372
45,-0.6609105275222781,-1.0803335119522892,-1.127778677,-2.0486325945307766,-0.6074461003943786
46,-0.4720960182172675,-0.5491727870685327,-1.004818206,-0.2485463466246682,-1.9837110622979632
47,-1.194169897866443,-0.3474034974436557,-0.499784398,-0.653214731636104,-0.523878840322734
48,-1.1561817030640933,-0.15144604807550333,-0.502444462,-0.39623497260353857,-0.9381069150286121
49,-1.356949562648201,-0.6253147983707027,-0.5536635670000001,-0.29368249892687753,-0.115498546634003
50,-1.649767849136831,-0.5125323463765248,-0.725071445,-0.06683007171894582,-0.9907749122498657
51,-1.8747785897460336,-0.10785527299540973,-0.797513791,-1.4627840868787472,-0.5797645304228364
52,-2.0539480558863468,-0.28471953033895503,-0.844934979,-0.9724003474470905,-1.0627869115482118
53,-2.2097014239587773,-1.2817192876334527,-0.901471248,-0.11874749991894495,-0.278742332741145
54,-2.30052469309168,-0.023435029447140723,-0.995782627,-0.9247846901335055,-1.1560066657333732
55,-2.5560038453864746,-1.9852432766608619,-1.045898333,-0.26468286744378927,-2.071987575835642
56,-2.657249478897965,-0.8990154218165914,-1.163924598,-1.4102538292745028,-0.8672775075254096
57,-3.6520776247758646,-0.14744826137108955,-1.4947891130000002,-1.546817534253008,-1.8589073257268316
58,-4.115317764686679,-0.5470962146716539,-1.674099257,-3.052488589326575,-1.1473411900204555
59,-4.3146613909771885,-1.807486026654163,-1.826922654,-1.284759552922481,-0.2835054534777897
60,-4.384944664952111,-1.9661152675856026,-1.847200417,-3.5932550211937175,-2.42935273508535
61,-4.1757399327956914,-2.4022454252116177,-1.773126939,-1.6050675576483024,-1.109526692124953
62,-3.746889285361644,-2.7826475700289857,-1.65193303,-1.664772640106941,-2.0143131004988275
63,-1.9392592319516144,-0.7581373302985606,-0.8042699259999999,-0.06404727413762742,-0.2947039318169327
64,-1.1463681417522738,-0.6752207627318019,-0.505569203,-0.16127309096168074,-0.41579111702049737
65,-1.2174684801032252,-0.3626839057654805,-0.517498407,-0.8778819499406835,-0.6051241035045107
66,-1.1815199099758302,-0.5116410825369035,-0.491359895,-0.9686768099603438,-0.6473973941123926
67,-1.118266911808579,-0.4774473443961934,-0.487193534,-0.21928925910823943,-0.8050549847414471
68,-1.1376097669970355,-0.1487794438891235,-0.493203279,-0.6125603101191471,-0.8243910201247647
69,-1.1632285944968352,-0.31556938760647446,-0.507092681,-0.2835271694949362,-0.8720077334036122
70,-1.255533520852678,-0.3102920091336435,-0.534594999,-0.8001570322460607,-0.5782509689700794
71,-1.3317987633062578,-0.6682044936854125,-0.57069277,-0.7952837144279226,-0.473596194466456
72,-1.5022673632171486,-0.12686225580771068,-0.612633393,-1.215077377378819,-0.005271949931139045
73,-1.17747555578688,-0.081794179013313,-0.519206791,-0.853293825340112,-0.3669060658163744
74,-1.2018439601805175,-0.14989199663430264,-0.505617361,-0.7671375045315094,-1.0094510756791486
75,-1.2803604636246453,-1.0041644277583828,-0.535386822,-0.2906312545355342,-0.20695065870530327
76,-1.4900234815975741,-0.18965393371265657,-0.616149567,-0.043080175570010745,-0.13465383010157256
77,-1.5412658275504172,-0.8768732837316617,-0.658915161,-0.11088040828397742,-0.7804311551189427
78,-1.6579745762598832,-0.8673533304773424,-0.675074579,-1.2607805381297037,-0.2787113849555102
79,-1.5697681184038828,-0.9314590352052982,-0.6891626940000001,-0.5711335082606848,-0.7876090549746291
80,-1.8829621991773724,-1.04604743194361,-0.794221947,-1.49718615457778,-0.5080062708194258
