Temp,FM,Psi,Date
10.82317708,51.09261458,-0.699744064,12/15/10
11.27633333,59.2778125,-0.590704686,12/16/10
9.696135417,65.89679167,-0.52355489,12/17/10
12.62658333,69.7083125,-0.49104702,12/18/10
12.44277083,70.76352083,-0.482708265,12/19/10
12.272,70.93780208,-0.481356542,12/20/10
10.80175,70.91869792,-0.481504367,12/21/10
12.08052083,70.90282143,-0.481627281,12/22/10
10.41860417,70.91040476,-0.481568564,12/23/10
12.39826042,70.9179881,-0.481509861,12/24/10
10.83905208,70.92557143,-0.481451171,12/25/10
10.4173125,70.68268333,-0.483337661,12/26/10
10.04410417,70.74476667,-0.482854147,12/27/10
12.91078125,70.57978889,-0.484141023,12/28/10
10.77119792,70.41481111,-0.485434353,12/29/10
7.12040625,70.24983333,-0.486734184,12/30/10
5.662729167,70.36344792,-0.485838336,12/31/10
7.2355625,70.41664583,-0.485419935,1/1/11
7.798333333,70.56305208,-0.484271935,1/2/11
9.124427083,69.61684375,-0.491782593,1/3/11
10.33377083,70.02628125,-0.48850597,1/4/11
12.563375,70.55792708,-0.484312035,1/5/11
15.82370833,70.37596875,-0.485739799,1/6/11
11.68292708,69.66920833,-0.491361235,1/7/11
8.748604167,69.56411458,-0.492207572,1/8/11
9.623875,69.42091667,-0.493365181,1/9/11
8.7745,69.35880208,-0.493868905,1/10/11
12.68341667,67.61225,-0.508438637,1/11/11
13.95472917,66.27044792,-0.520190954,1/12/11
17.20273958,64.71566667,-0.534461885,1/13/11
18.96917708,62.76227083,-0.553466105,1/14/11
21.9568125,55.72069792,-0.633882299,1/15/11
19.0203125,52.93354167,-0.672069525,1/16/11
20.68323958,53.02702083,-0.670719061,1/17/11
20.20907292,52.89628125,-0.672609238,1/18/11
15.65129167,52.43720833,-0.679326236,1/19/11
15.61246875,49.21810417,-0.730205541,1/20/11
17.35988542,41.61919792,-0.884041522,1/21/11
15.31288542,41.75839583,-0.88068287,1/22/11
16.33533333,40.69330208,-0.907008476,1/23/11
16.07069792,37.81985417,-0.985977172,1/24/11
16.03319792,38.3386875,-0.970780477,1/25/11
16.560875,37.9054375,-0.983439761,1/26/11
18.40111458,33.83832292,-1.119286902,1/27/11
16.51120833,33.26357292,-1.141360786,1/28/11
12.65953125,33.61471875,-1.127778677,1/29/11
9.85884375,37.19707292,-1.004818206,1/30/11
10.07333333,68.63815625,-0.499784398,1/31/11
9.413135417,68.31929167,-0.502444462,2/1/11
10.53044792,62.74263542,-0.553663567,2/2/11
9.741729167,49.52367708,-0.725071445,2/3/11
8.29684375,45.55483333,-0.797513791,2/4/11
11.07954167,43.30419792,-0.844934979,2/5/11
14.96234375,40.91247917,-0.901471248,2/6/11
17.07209375,37.49297917,-0.995782627,2/7/11
12.60189583,35.91235417,-1.045898333,2/8/11
12.89311458,32.69723958,-1.163924598,2/9/11
14.12852083,26.25425,-1.494789113,2/10/11
15.84677083,23.770625,-1.674099257,2/11/11
19.04675,22.01713542,-1.826922654,2/12/11
15.92471875,21.80497917,-1.847200417,2/13/11
10.96576042,22.60201042,-1.773126939,2/14/11
11.63857292,24.0501875,-1.65193303,2/15/11
11.87271875,45.21897917,-0.804269926,2/16/11
8.5089375,67.94875,-0.505569203,2/17/11
8.799697917,66.5728125,-0.517498407,2/18/11
9.362604167,69.669375,-0.491359895,2/19/11
6.64896875,70.19172917,-0.487193534,2/20/11
7.3815625,69.44090625,-0.493203279,2/21/11
7.833583333,67.76964583,-0.507092681,2/22/11
7.799041667,64.70153125,-0.534594999,2/23/11
8.813885417,61.09730208,-0.57069277,2/24/11
8.687885417,57.4124375,-0.612633393,2/25/11
7.891083333,66.380625,-0.519206791,2/26/11
5.263958333,67.94307292,-0.505617361,2/27/11
