,desert,scrubland,grassland,pineoak,subalpine
0,-1.3971345784561364,-0.32966408308003226,-0.6997440640000001,-0.050244340644465854,-1.1521422553763478
1,-0.4507195902210012,-0.22622002018909929,-0.590704686,-1.07501566574311,-0.27272060134688936
2,-0.389188402098835,-0.003164931056137201,-0.52355489,-0.19019488964432826,-0.6985551278622089
3,-0.6898329882912786,-0.4847249490371166,-0.49104702,-0.272067534518991,-0.6482874938830966
4,-0.0645336123938451,-0.3883030449028421,-0.482708265,-0.5080035116328606,-0.13360147052808577
5,-0.387358734368296,-0.1549192691152742,-0.4813565420000001,-0.06983836439436206,-0.91656388345503
6,-0.7065824618643689,-0.3999158653797596,-0.481504367,-0.7376980483699288,-0.38904569500187436
7,-0.6475627635641527,-0.6700182889329989,-0.481627281,-0.067200319767482,-0.5710677862969362
8,-0.019429591218957237,-0.40098110550669874,-0.481568564,-0.46998111810082066,-0.4781702204474491
9,-0.6525829003624456,-0.42984915542165164,-0.481509861,-0.3817096673381497,-0.39745940026214643
10,-0.5837525532091277,-0.8783087897403159,-0.481451171,-0.19282110894570065,-0.322013336946497
11,-0.4821311166992575,-0.44158198059265713,-0.483337661,-0.23144256782879152,-0.24662622321747005
12,-0.44071628098658555,-0.8557142340236656,-0.482854147,-0.7985953200568093,-0.735912313122354
13,-0.5411185429299221,-0.14651506860204425,-0.484141023,-0.7107111214233802,-0.1663852857225887
14,-0.012911963724541575,-0.2986586545689534,-0.485434353,-0.8624298963411936,-0.03512126158877576
15,-0.8144424090572294,-0.942515128691676,-0.486734184,-0.23182695428398786,-0.9019917802636774
16,-0.012568712289993175,-0.4149041353057455,-0.485838336,-0.27233446437906467,-0.22605396932808375
17,-0.030070571696605927,-0.0024603783629364912,-0.485419935,-0.019457567448734857,-0.6665166460605296
18,-0.5885351450975214,-0.2661727634140527,-0.484271935,-0.617942118966712,-0.48852107166982334
19,-0.8735760497578802,-0.8933176908852806,-0.491782593,-0.04287213794845696,-0.5976895227029589
20,-0.4884247820880784,-0.08024328490744122,-0.48850597,-0.4533021972299283,-0.024174297878668927
21,-0.7473268015506888,-0.017595325685660787,-0.484312035,-0.20100812292821893,-0.3028274866190575
22,-0.7253189095795737,-0.2971777525848271,-0.485739799,-0.8408168759440389,-0.28923203274284487
23,-0.6070007099179299,-0.716443701117632,-0.491361235,-0.0302975410023458,-0.005139953626169949
24,-0.40888959005216785,-0.5443609167359705,-0.492207572,-0.9134022984871848,-0.9508907171019382
25,-0.2966155907799198,-0.40912356046850606,-0.493365181,-0.8259303868657842,-0.20522222552599462
26,-0.6563727220205241,-0.9713830330863038,-0.493868905,-0.7446620426060476,-0.039670463100590254
27,-0.9659367611454106,-0.5609890573481364,-0.508438637,-0.11432558860981436,-0.6163745589384266
28,-0.056425148316226914,-0.6025576548735074,-0.520190954,-0.6124788619725331,-0.6999534061670897
29,-0.6750441631147099,-0.2973954408565679,-0.534461885,-0.6299940853932245,-0.7750506543223427
30,-0.8492849472992443,-0.12819495011575635,-0.553466105,-0.9921190443592806,-0.7951087217286565
31,-0.030104502277947948,-0.6018369913811542,-0.633882299,-1.224938522103462,-0.42079484140380674
32,-0.9221585574045288,-0.8683596116374714,-0.672069525,-0.9148795299072288,-0.29495386473151064
33,-0.3118070745170934,-0.7793110922648678,-0.670719061,-0.10357381694086859,-0.16269688300554594
34,-0.28519310059088493,-1.2641648927988292,-0.6726092379999999,-0.6017696270659398,-0.7353940937127752
35,-1.1607117664509428,-0.5987718773282029,-0.679326236,-0.8427392729022342,-0.9778361445911298
36,-0.14677252730759816,-0.5350861423985807,-0.7302055409999999,-0.3356015453279215,-1.365505435876744
37,-0.5546549219501792,-0.6671973631674463,-0.8840415220000001,-0.10976018121142213,-1.0771014023092955
38,-0.563128980028965,-1.4834054442972413,-0.88068287,-1.0688823960050369,-1.4420283262754816
39,-1.471287089121806,-0.20953000348746628,-0.907008476,-0.43236222314089506,-0.2656864599724128
40,-0.5460621117692793,-1.5270727249876321,-0.985977172,-0.9019834132502881,-0.9553280998444029
41,-0.8249307671891745,-1.467230391733326,-0.970780477,-1.4420818651309595,-0.3078460452091669
42,-0.001352576961963577,-0.042609912024692664,-0.983439761,-1.4316948727150502,-0.8242292052000694
43,-0.001376317352995917,-1.55890137562655,-1.119286902,-0.06733577994043874,-1.2863856877608904
44,-1.745552017400643,-0.5217086496533672,-1.141360786,-0.617585196379062,-2.113349480018352
45,-0.2970477741205429,-0.6460465983355749,-1.127778677,-1.916028207211037,-1.913240612488691
46,-0.9359823725042913,-1.264751004600398,-1.004818206,-1.958510560568984,-0.9112952591432368
47,-0.2550389949405876,-0.961704976422517,-0.499784398,-0.35155412659069374,-0.24781532396500394
48,-0.06943903397773883,-0.37929668263844124,-0.502444462,-0.970267982882731,-0.274280755222913
49,-0.13449328408476421,-1.0698903066587877,-0.5536635670000001,-0.4990199855031366,-0.6000700315605805
50,-1.3943750872397196,-1.281342248800761,-0.725071445,-0.060455503484623356,-0.6287546058611397
51,-0.903538990486514,-0.008363554398275954,-0.797513791,-1.1523305190952298,-1.5360753985734417
52,-0.5212156128970686,-0.44521301834471655,-0.844934979,-0.27285707066167597,-0.21498499751048045
53,-0.6177788167176284,-1.2229955189187505,-0.901471248,-0.6311760847239388,-0.4489858443865402
54,-0.10559294826803535,-1.0954609322955262,-0.995782627,-1.3177938044957405,-1.765260581200098
55,-0.8600751736580292,-1.691082000237386,-1.045898333,-1.6604964327628493,-0.9521130939669427
56,-0.31083579677279427,-1.763074411497658,-1.163924598,-2.0487871694645463,-1.618970536350646
57,-1.601189000271274,-1.9953643609646643,-1.4947891130000002,-0.789899923265481,-2.718442165453367
58,-2.217659030002284,-0.4026194647157327,-1.674099257,-0.8047773804554845,-2.402446691668786
59,-0.012455770401891128,-0.9873239483628331,-1.826922654,-2.6409216214839035,-1.7805663744654099
60,-0.25574798082330785,-1.8214757630300396,-1.847200417,-1.4746605842399627,-0.09364256772251123
61,-1.986499696291829,-2.8857673134871376,-1.773126939,-2.2145663635314463,-0.7015047164404882
62,-0.8310794405949026,-3.036697006826732,-1.65193303,-0.30917130210257776,-2.800520821551146
63,-0.3638912167750695,-0.6144597991415794,-0.8042699259999999,-0.2503839766726742,-1.578596917559498
64,-0.7318329390266471,-0.09432470036504065,-0.505569203,-0.10574473950730455,-0.4846668368906223
65,-0.3709422456139276,-0.5470579980000344,-0.517498407,-0.2200470070973542,-0.46231522591576885
66,-0.3818697307906648,-0.931571288197169,-0.491359895,-0.6977709367265034,-0.7626346634105999
67,-0.7902041418728923,-0.19669937335939786,-0.487193534,-0.0688459504321257,-0.9397175126088835
68,-0.8788482050157366,-0.09167988900492412,-0.493203279,-0.6842600738605966,-0.0909354435005534
69,-0.8620551606170311,-0.46223614032584975,-0.507092681,-0.10061683436812807,-0.12079170702479189
70,-0.9850461358660337,-0.927427439718731,-0.534594999,-0.747152369340078,-0.7783904149286289
71,-0.4138748657848823,-1.1134770175908675,-0.57069277,-0.6070796697892017,-0.8762635905568162
72,-0.061538495407859106,-0.2784660669570249,-0.612633393,-0.7451641976120854,-0.9889529725022935
73,-0.08401830577574154,-0.9516392216774567,-0.519206791,-0.516370228733769,-0.9933023153886528
74,-0.26106106786162186,-0.2952733686798405,-0.505617361,-0.07868778718004706,-0.008998854635656634
75,-0.850648622852512,-0.4986509719102736,-0.535386822,-0.12240106857894137,-0.05239241685740557
76,-0.5727141404541781,-0.3232350451017425,-0.616149567,-0.6422031336372471,-1.1677832619169566
77,-1.3143714798153394,-0.8139942544810654,-0.658915161,-0.4789381142413633,-1.090351124279391
78,-0.03661897674473071,-0.9815513625547198,-0.675074579,-0.36743061686120243,-0.9977724431792734
79,-1.181915164101439,-1.0003091065275016,-0.6891626940000001,-0.5611981071141874,-0.47316694555527494
80,-0.6897135892710154,-1.5706156886096532,-0.794221947,-1.0007311288442586,-1.093212393508327
81,-1.6562313767942733,-0.20929497807273656,-0.946874526,-0.7736272600616774,-1.7662263521568768
82,-0.14643852261532403,-1.0936079876001208,-0.604825366,-0.09922931312955365,-0.7676037024170861
83,-0.07955021722590139,-0.49453832198161773,-0.510532816,-0.13943881595706556,-0.3503417742780058
84,-0.32313236736728435,-0.045040900043695924,-0.548339964,-0.05748843204756394,-0.14140582548194514
85,-0.2576555018355694,-0.30410199249270686,-0.644816975,-0.9489247329297791,-1.1904521264593535
86,-0.05214833234439181,-0.668927071517484,-0.721248485,-1.01972677628472,-0.995755441209388
87,-1.0498506025736563,-0.6501269448210154,-0.8106474220000001,-1.584270054737228,-0.03360821983877608
88,-0.3408752769650174,-1.707759479659706,-0.909297549,-0.23693917095787195,-1.5167110871380307
89,-0.26371299807800674,-1.585341891564115,-1.0014650040000002,-1.5373894526288072,-1.6067797789696763
90,-0.3859317079951868,-1.5163424543575519,-1.094443882,-0.5597765247293696,-1.6655058788722732
91,-1.1820544073409907,-1.2305206574868566,-1.189740162,-0.5107946942820308,-1.3853048035999764
92,-1.2232923803892404,-0.25520968729296833,-1.251786372,-0.9194441638029324,-0.6278569839566077
93,-2.446681742881873,-2.6302847402680203,-1.317112074,-1.0820317276532394,-1.3361324717147895
94,-2.559279257864142,-0.10250142228080554,-1.396617873,-0.9906133866230055,-0.7240256895457521
95,-0.7082505771465397,-1.3794689177893094,-1.399569749,-0.8244761282814375,-2.0284014291625847
96,-0.11093957278240803,-1.030041266183925,-0.517265885,-0.5067959944593092,-0.6451572602956147
97,-0.817332763364527,-0.7752368531777982,-0.496160326,-0.8581117529791835,-0.7819209337300761
98,-0.7187958013764374,-0.8661751174646128,-0.50757916,-0.3487641539585821,-0.0666827505385895
99,-0.72496869541515,-0.24362234590873638,-0.492339436,-0.15181902976728692,-0.7739261701709416
100,-0.4763665545394325,-0.2906507340536518,-0.49163206,-0.5187505634483826,-0.0013574637317064983
101,-0.9650427612958614,-0.618377734650906,-0.490154731,-0.26948172912895973,-0.7364350330836755
102,-0.03997907038205319,-0.06663142201188864,-0.490875006,-0.21042355483012665,-0.5226978796247879
103,-0.44697794807568536,-0.35043895286203014,-0.489965309,-0.30071474831461054,-0.8883935652544906
104,-0.8063189771820195,-0.44175346158916146,-0.49763395,-0.6500975493034115,-0.48418912571833667
105,-0.3210793603877911,-0.8890059972391982,-0.521793056,-0.5087420893021919,-0.7359132488993522
106,-0.2326056579726631,-0.874266693859911,-0.582159192,-0.00949533330972458,-0.8437397294975882
107,-1.5520333229367214,-0.8605559081051366,-0.643189138,-0.14177457470082988,-0.306984385360282
108,-1.6946626518781718,-0.8776093496145894,-0.727626755,-0.27117668342824797,-0.36647262878013975
109,-1.9126535427979539,-1.090778354307325,-0.813698932,-0.2152986719793649,-0.3965926820650361
110,-2.34817097348517,-1.1910541381375332,-0.970048217,-0.3575677235935322,-0.4567554156052255
111,-2.8091922972251715,-1.5549357354265971,-1.162712593,-0.3397165926872687,-0.4973094637112366
112,-3.037252324114015,-1.6501669285307434,-1.274169776,-0.3900345432335749,-0.6309170346006352
113,-3.00886568804585,-1.6701654903606846,-1.289587885,-0.33740642901398343,-0.7011008323490254
114,-2.8468233436749655,-1.4887760061760937,-1.169559936,-0.42461897798927534,-0.45184252755637916
115,-1.832497133387894,-1.0183252776808513,-0.794409294,-0.24933182603450274,-0.4159803668149284
116,-1.8199829213236538,-0.9475908585928232,-0.745105459,-0.26197427767220194,-0.3275645511599914
117,-2.430057673197196,-1.1886694134692422,-0.986343539,-0.3171493460929557,-0.41420849794911324
118,-2.910389690023302,-1.61731006000523,-1.239171759,-0.4063456306860354,-0.6382847113851847
119,-3.448285760161263,-1.754189136195009,-1.415309721,-0.494088825372126,-0.5021564987240612
120,-3.670001113137232,-1.896647916572436,-1.5498761630000002,-0.4074252395296582,-0.6777413845356617
121,-4.2374930824663934,-2.3406126910947234,-1.768452619,-0.4717972893799211,-0.9213645043417743
122,-4.437302553844809,-2.4759260044695233,-1.902284158,-0.5253177144486678,-0.8528688095316701
123,-4.730338509228401,-2.5497792622711217,-1.98425935,-0.6769544250741252,-1.0428724312044453
124,-4.495812996933463,-2.4124242943762435,-1.900561381,-0.752296717136301,-0.8178207424849752
125,-4.057466547342644,-2.042972031342031,-1.6502543790000002,-0.4052913394059113,-0.6176035405564356
126,-3.998780286823378,-2.2238119428272607,-1.663463151,-0.5337800726388607,-0.7118151889074753
127,-3.7968081635093656,-2.0162094896247065,-1.650085876,-0.5914940416615456,-0.6201451104007514
128,-3.7534311413657333,-2.1778187509791223,-1.618089668,-0.5585284430078692,-0.6465118999537313
129,-4.0036719453874365,-2.117417317197714,-1.6992147780000002,-0.5454955828998627,-0.6127307250767104
130,-3.892055718321367,-2.0295943082057364,-1.69366401,-0.5187868296767023,-0.8657837053113755
131,-3.5491827606477604,-2.0357596812247887,-1.504492501,-0.5422353811901014,-0.8064826146684271
132,-3.9049837622777677,-2.1850159249798256,-1.680969249,-0.4735853303892267,-0.7712884572079606
133,-4.135446242007762,-2.2180513445592687,-1.820722902,-0.49643191348920224,-0.7602881995912143
