,C,N,P
DeadMic,0.0,0.0,0.0
DeadEnz,0.0,0.0,0.0
Cellulose,121.54427976299999,0.0,0.0
Hemicellulose,1.592283141,0.0,0.0
Starch,17.515114551,0.0,0.0
Chitin,17.933283364500344,2.9889044947712033,0.0
Lignin,58.95395431140495,0.4912829525950413,0.0
Protein1,9.895915257398576,1.9577481256014255,0.0
Protein2,9.895915257398576,1.9577481256014255,0.0
Protein3,9.895915257398576,1.9577481256014255,0.0
OrgP1,44.80448758587531,0.0,1.7177530745774177
OrgP2,6.527525587230647,2.8629277744676487,1.7177530745774174
