,Temp,Psi
0,3.9549999999999996,-0.4653061224489794
1,6.19,-1.3795918367346938
2,7.095,-0.7591836734693875
3,9.52,-1.6081632653061224
4,13.16,-1.2163265306122448
5,14.915,-1.510204081632653
6,16.925,-0.4
7,16.605,-1.2489795918367346
8,15.525000000000002,-0.6612244897959183
9,14.100000000000001,-1.1510204081632653
10,14.65,-1.020408163265306
11,14.93,-0.5959183673469386
12,14.445,-1.020408163265306
13,14.43,-0.5632653061224488
14,14.175,-1.1510204081632653
15,14.25,-0.43265306122448965
16,15.42,-1.0857142857142856
17,15.635,-1.836734693877551
18,16.39,-1.4775510204081632
19,15.785,-1.7061224489795919
20,16.595,-0.4653061224489794
21,14.51,-0.43265306122448965
22,12.3,-1.6081632653061224
23,15.875,-0.7918367346938775
24,18.275,-0.889795918367347
25,14.919999999999998,-0.7591836734693875
26,15.489999999999998,-1.9020408163265305
27,15.335,-0.7265306122448978
28,17.48,-1.6408163265306122
29,14.809999999999999,-2.0
30,15.345,-0.6612244897959183
31,16.630000000000003,-1.6408163265306122
32,16.599999999999998,-1.4775510204081632
33,17.009999999999998,-1.9020408163265305
34,17.555,-1.9346938775510205
35,17.54,-1.3795918367346938
36,17.84,-1.6081632653061224
37,17.18,-1.9673469387755103
38,20.195,-1.6408163265306122
39,20.240000000000002,-0.5959183673469386
40,19.990000000000002,-1.4448979591836735
41,19.75,-1.5428571428571427
42,19.23,-1.7714285714285714
43,19.62,-0.6285714285714286
44,19.86,-0.5959183673469386
45,17.994999999999997,-0.49795918367346914
46,17.21,-1.0857142857142856
47,17.555,-1.4448979591836735
48,18.585,-1.2489795918367346
49,18.485,-1.5755102040816327
50,18.555,-0.9551020408163264
51,16.845,-1.6081632653061224
52,14.995,-1.836734693877551
53,14.115,-0.4
54,14.325000000000001,-0.9877551020408162
55,15.084999999999999,-0.7918367346938775
56,15.93,-0.9877551020408162
57,15.765,-1.183673469387755
58,14.535,-1.346938775510204
59,10.774999999999999,-0.5306122448979591
60,10.525,-1.4775510204081632
61,11.195,-0.6612244897959183
62,13.945,-1.7387755102040816
63,14.879999999999999,-0.5632653061224488
64,17.99,-1.804081632653061
65,20.155,-1.2816326530612243
66,19.314999999999998,-0.5632653061224488
67,20.6,-1.1510204081632653
68,21.03,-1.3795918367346938
69,20.575,-0.4653061224489794
70,21.05,-0.4
71,23.765,-1.4122448979591837
72,23.545,-1.3142857142857143
73,22.87,-0.49795918367346914
74,22.655,-0.889795918367347
75,21.705,-0.7918367346938775
76,20.095,-0.5306122448979591
77,19.605,-0.7591836734693875
78,20.145,-1.7714285714285714
79,20.545,-0.8244897959183672
80,20.259999999999998,-1.9020408163265305
81,19.735,-1.836734693877551
82,21.2,-0.49795918367346914
83,22.91,-0.4653061224489794
84,23.67,-0.4653061224489794
