,Temp,Psi
0,-4.505,-1.510204081632653
1,-0.8650000000000002,-1.9020408163265305
2,1.7149999999999999,-1.1510204081632653
3,7.170000000000001,-1.7714285714285714
4,9.924999999999999,-1.4122448979591837
5,12.785,-0.693877551020408
6,12.425,-0.4653061224489794
7,9.094999999999999,-1.510204081632653
8,7.345000000000001,-1.9020408163265305
9,4.715000000000001,-0.5632653061224488
10,4.1,-0.4
11,2.98,-0.7591836734693875
12,1.2699999999999998,-0.5306122448979591
13,3.88,-0.5959183673469386
14,5.265000000000001,-1.9020408163265305
15,7.345000000000001,-0.4653061224489794
16,8.715,-0.6285714285714286
17,10.735,-1.836734693877551
18,11.74,-1.1183673469387754
19,8.844999999999999,-0.889795918367347
20,4.205,-1.6081632653061224
21,4.9399999999999995,-1.4122448979591837
22,6.375,-1.9673469387755103
23,8.184999999999999,-1.7714285714285714
24,10.16,-1.2489795918367346
25,8.265,-1.4122448979591837
26,5.005,-1.836734693877551
27,5.92,-1.2489795918367346
28,6.48,-1.5755102040816327
29,2.3949999999999996,-1.5428571428571427
30,2.625,-1.1510204081632653
31,7.095,-0.9877551020408162
32,9.38,-1.3142857142857143
33,9.475,-0.693877551020408
34,9.965,-0.7918367346938775
35,10.325,-1.4775510204081632
36,9.345,-1.4775510204081632
37,8.25,-1.9020408163265305
38,8.915000000000001,-0.9224489795918367
39,8.969999999999999,-0.9877551020408162
40,9.785,-1.4775510204081632
41,8.945,-1.4775510204081632
42,10.48,-1.0857142857142856
43,13.05,-0.49795918367346914
44,10.54,-1.5755102040816327
45,10.555000000000001,-1.8693877551020408
46,9.885,-1.3795918367346938
47,9.63,-1.346938775510204
48,9.485,-0.4653061224489794
49,10.23,-0.5959183673469386
50,8.345,-1.9673469387755103
51,7.25,-0.4653061224489794
52,-1.0499999999999998,-0.693877551020408
53,-1.29,-1.7714285714285714
54,-0.81,-1.4448979591836735
55,5.28,-1.510204081632653
56,5.555,-0.5959183673469386
57,1.635,-0.5306122448979591
58,-1.87,-0.5306122448979591
59,-2.055,-0.7265306122448978
60,-3.905,-1.5755102040816327
61,-0.8350000000000004,-1.9673469387755103
62,0.3599999999999999,-1.510204081632653
63,4.195,-0.5632653061224488
64,6.705,-1.804081632653061
65,7.695,-1.3142857142857143
66,8.22,-0.4
67,8.495,-1.804081632653061
68,8.280000000000001,-0.9551020408163264
69,7.8100000000000005,-1.0857142857142856
70,6.2250000000000005,-0.889795918367347
71,10.835,-0.5632653061224488
72,11.57,-0.4
73,10.82,-0.8244897959183672
74,11.115,-1.183673469387755
75,9.67,-0.49795918367346914
76,7.42,-1.2816326530612243
77,7.404999999999999,-0.889795918367347
78,9.735,-0.8244897959183672
79,9.525,-0.4
80,7.495,-1.5428571428571427
81,7.09,-0.7918367346938775
82,8.295,-0.5632653061224488
83,10.785,-1.836734693877551
84,11.645,-1.7387755102040816
85,12.455,-1.2489795918367346
86,12.575000000000001,-1.4122448979591837
87,12.605,-0.857142857142857
88,12.7,-1.7061224489795919
89,10.475000000000001,-1.4448979591836735
90,7.495,-0.38501736480000004
91,5.9799999999999995,-0.38501736480000004
92,8.08,-0.38501736480000004
93,6.710000000000001,-0.38501736480000004
94,4.64,-0.38501736480000004
95,1.795,-0.38501736480000004
96,1.52,-0.38501736480000004
97,1.4900000000000002,-0.38501736480000004
98,4.33,-0.38501736480000004
99,5.444999999999999,-0.38501736480000004
100,6.29,-0.38501736480000004
101,10.639999999999999,-0.6807982451893907
102,11.38,-0.9011596534941682
103,10.24,-0.5616839704300525
104,7.445,-0.38501736480000004
105,7.25,-0.38501736480000004
106,7.699999999999999,-0.38501736480000004
107,9.75,-0.41576898384986233
108,10.425,-0.6167743225062466
109,9.475,-0.38501736480000004
110,5.3,-0.38501736480000004
111,3.625,-0.38501736480000004
112,1.995,-0.38501736480000004
113,3.335,-0.38501736480000004
114,-0.18500000000000005,-0.38501736480000004
115,4.245,-0.38501736480000004
116,9.084999999999999,-0.38501736480000004
117,10.67,-0.6897318157963416
118,12.68,-1.2882810464620187
119,13.87,-1.642646013871051
120,13.43,-1.511620311635779
121,11.775,-1.0187849998190146
122,9.175,-0.38501736480000004
123,7.115,-0.38501736480000004
124,7.04,-0.38501736480000004
125,4.535,-0.38501736480000004
126,-0.4900000000000002,-0.38501736480000004
127,-3.8600000000000003,-0.38501736480000004
128,1.5650000000000002,-0.38501736480000004
129,7.76,-0.38501736480000004
130,8.95,-0.38501736480000004
131,6.5,-0.38501736480000004
132,5.135,-0.38501736480000004
133,-1.1500000000000001,-0.38501736480000004
134,1.055,-0.38501736480000004
135,1.2699999999999998,-0.38501736480000004
136,4.38,-0.38501736480000004
137,2.485,-0.38501736480000004
138,4.595,-0.38501736480000004
